Referencia;Nombre;Categoría;Definicion;Caracteristicas
1073;ESMALTE EXPERTO ROJO 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
1069;ESMALTE EXPERTO ROJO 1/2 G SUPER;PINTURAS Y DISOLVENTES;;
1070;ESMALTE EXPERTO ROJO 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
1071;ESMALTE EXPERTO ROJO 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
1072;ESMALTE EXPERTO ROJO 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
1078;ESMALTE EXPERTO TABACO 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
1074;ESMALTE EXPERTO TABACO 1/2 G SUPER;PINTURAS Y DISOLVENTES;;
1075;ESMALTE EXPERTO TABACO 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
1076;ESMALTE EXPERTO TABACO 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
1077;ESMALTE EXPERTO TABACO 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
1083;ESMALTE EXPERTO VERDE PINO 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
1079;ESMALTE EXPERTO VERDE PINO 1/2 G SUPER;PINTURAS Y DISOLVENTES;;
1080;ESMALTE EXPERTO VERDE PINO 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
1081;ESMALTE EXPERTO VERDE PINO 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
1082;ESMALTE EXPERTO VERDE PINO 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
1088;ESMALTE DOMESTICO BLANCO 1 G PINTUCO;PINTURAS Y DISOLVENTES;;
1084;ESMALTE DOMESTICO BLANCO 1/2 G PINTUCO;PINTURAS Y DISOLVENTES;;
1085;ESMALTE DOMESTICO BLANCO 1/32 G PINTUCO;PINTURAS Y DISOLVENTES;;
1086;ESMALTE DOMESTICO BLANCO 1/4 G PINTUCO;PINTURAS Y DISOLVENTES;;
1087;ESMALTE DOMESTICO BLANCO 1/8 G PINTUCO;PINTURAS Y DISOLVENTES;;
3433;ESMALTE ICOMAX CAOBA 1 GALON PINTUCO;PINTURAS Y DISOLVENTES;;
2422;ESMALTE ICOMAX CAOBA 1/2 G PINTUCO;PINTURAS Y DISOLVENTES;;
2442;ESMALTE ICOMAX CAOBA 1/32 G PINTUCO;PINTURAS Y DISOLVENTES;;
2458;ESMALTE ICOMAX CAOBA 1/4 G PINTUCO;PINTURAS Y DISOLVENTES;;
2813;ESMALTE ICOMAX CAOBA 1/8 G PINTUCO;PINTURAS Y DISOLVENTES;;
1093;ESMALTE DOMESTICO NEGRO 12227 1 GALON PINTUCO;PINTURAS Y DISOLVENTES;;
1089;ESMALTE DOMESTICO NEGRO 12227 1/2 G PINTUCO;PINTURAS Y DISOLVENTES;;
1090;ESMALTE DOMESTICO NEGRO 12227 1/32 G PINTUCO;PINTURAS Y DISOLVENTES;;
1091;ESMALTE DOMESTICO NEGRO 12227 1/4 G PINTUCO;PINTURAS Y DISOLVENTES;;
1092;ESMALTE DOMESTICO NEGRO 12227 1/8 G PINTUCO;PINTURAS Y DISOLVENTES;;
1103;ESMALTE INDUSTRIAL NEGRO MATE 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
1099;ESMALTE INDUSTRIAL NEGRO MATE 1/2 G SUPER;PINTURAS Y DISOLVENTES;;
1100;ESMALTE INDUSTRIAL NEGRO MATE 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
1101;ESMALTE INDUSTRIAL NEGRO MATE 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
1102;ESMALTE INDUSTRIAL NEGRO MATE 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
1110;ESMALTE INDUSTRIAL VERDE PRIMAVERAL 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
1106;ESMALTE INDUSTRIAL VERDE PRIMAVERAL 1/2 G SUPER;PINTURAS Y DISOLVENTES;;
1107;ESMALTE INDUSTRIAL VERDE PRIMAVERAL 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
1108;ESMALTE INDUSTRIAL VERDE PRIMAVERAL 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
1109;ESMALTE INDUSTRIAL VERDE PRIMAVERAL 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
1098;ESMALTE INDUSTRIAL WENGUE 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
1094;ESMALTE INDUSTRIAL WENGUE 1/2 G SUPER;PINTURAS Y DISOLVENTES;;
1095;ESMALTE INDUSTRIAL WENGUE 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
1096;ESMALTE INDUSTRIAL WENGUE 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
1097;ESMALTE INDUSTRIAL WENGUE 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
1105;ESMALTE PINTULUX 3 EN 1 BLANCO 1 GALON PINTUCO;PINTURAS Y DISOLVENTES;;
1104;ESMALTE PINTULUX 3 EN 1 BLANCO PINTUCO 1/4;PINTURAS Y DISOLVENTES;;
3588;"ESMERIL DE BANCO DE 5"" DE 1/16 HP PRETUL";HERRAMIENTA ELECTRICA;;
1111;ESMERILADOR DE VALVULAS 75GR SINTECO;LUBRICANTES;;
3195;"ESPATULA GERMANY ACERO INOX 3""GOYA";HERRAMIENTA MANUAL;;
1112;"ESPATULA PLASTICA 2"" TRUPER";HERRAMIENTA MANUAL;;
1113;ESPATULA PLASTICA GRANDE PORRAS;HERRAMIENTA MANUAL;;
1114;ESPATULA PLASTICA PEQUEï¿½A PORRAS;HERRAMIENTA MANUAL;;
1115;"ESPATULA PREMIER L.E 1"" GOYA";HERRAMIENTA MANUAL;;
1116;"ESPATULA PREMIER L.E 11/2"" GOYA";HERRAMIENTA MANUAL;;
1117;"ESPATULA PREMIER L.E 2"" GOYA";HERRAMIENTA MANUAL;;
1118;"ESPATULA PREMIER L.E 21/2"" GOYA";HERRAMIENTA MANUAL;;
1119;"ESPATULA PREMIER L.E 3"" GOYA";HERRAMIENTA MANUAL;;
1120;"ESPATULA PREMIER L.E 4"" GOYA";HERRAMIENTA MANUAL;;
1121;"ESPATULA PREMIER L.E 5"" GOYA";HERRAMIENTA MANUAL;;
1122;"ESPATULA PREMIER L.E 6"" GOYA";HERRAMIENTA MANUAL;;
1123;"ESPATULA TAPIZADORA 8"" TRUPER";HERRAMIENTA MANUAL;;
3343;ESPEJO TESCOPICO DE INSPECCION TRUPER;HERRAMIENTA MANUAL;;
3613;ESPONJA EN ALAMBRE MATRIX;HOGAR Y COCINA;;
1562;ESPUMA EXPANSIVA 500ML CORNETA;PINTURAS Y DISOLVENTES;;
1124;ESQUINERO PLASTICO BLANCO 2.3MT;PERFILES Y WINES;;
1125;ESQUINERO PLASTICO CAFï¿½ 2.3MT;PERFILES Y WINES;;
1126;ESTAï¿½O 100 GR CARRETE;ELECTRICOS;;
1127;ESTAï¿½O BOLSITA;ELECTRICOS;;
1128;SOLDADURA DE ESTAï¿½O TUBO;ELECTRICOS;;
1129;ESTARTER UN;ELECTRICOS;;
1130;ESTUCO PLASTICO 1/2G MAXI;CONSTRUCCION;;
1131;ESTUCO PLASTICO 1/4G MAXI;CONSTRUCCION;;
1132;ESTUCO PLASTICO 1/8G MAXI;CONSTRUCCION;;
1133;ESTUCO PLASTICO 1G MAXI;CONSTRUCCION;;
1134;ESTUCO PLASTICO BALDE 2.5G MAXI;CONSTRUCCION;;
1135;ESTUCO PLASTICO CANECA 5G MAXI;CONSTRUCCION;;
3409;ESTUCOMASTIC BLANCO 15 BALDE KGPINTUCO;CONSTRUCCION;;
1136;ESTUCOMASTIC BLANCO 1G 5K PINTUCO;CONSTRUCCION;;
1137;ESTUCOMASTIC BLANCO CANECA 27K PINTUCO;CONSTRUCCION;;
1146;EXTENSION 8 MTS 25ft DUPLEX OSBLACK/TITANIUM;ELECTRICOS;;
1138;EXTENSION CON POLO 10MT;ELECTRICOS;;
1139;EXTENSION CON POLO 2MT;ELECTRICOS;;
1140;EXTENSION CON POLO 3MT;ELECTRICOS;;
1141;EXTENSION CON POLO 5MT;ELECTRICOS;;
1142;EXTENSION CON POLO 8MT;ELECTRICOS;;
1147;EXTENSION FIBRA DE VIDRIO AMARILLA 1.80 - 3.60 MT;HERRAMIENTA MANUAL;;
1143;"EXTENSION PARA RACHET 5"" MANDO 1/2 TRUPER";HERRAMIENTA MANUAL;;
3312;"EXTENSION RATCHET 3/8 X 8"" TRUPER";HERRAMIENTA MANUAL;;
1148;EXTENSOR DE ACERO PARA RODILLO 2M;HERRAMIENTA MANUAL;;
1149;"FIBRO DISCO 41/2"" N 100";ABRASIVOS Y CONSUMIBLES;;
1150;"FIBRO DISCO 41/2"" N 120";ABRASIVOS Y CONSUMIBLES;;
1151;"FIBRO DISCO 41/2"" N 150";ABRASIVOS Y CONSUMIBLES;;
1152;"FIBRO DISCO 41/2"" N 180";ABRASIVOS Y CONSUMIBLES;;
1153;"FIBRO DISCO 41/2"" N 220";ABRASIVOS Y CONSUMIBLES;;
3284;"FIBRO DISCO 41/2"" N 24";ABRASIVOS Y CONSUMIBLES;;
1154;"FIBRO DISCO 41/2"" N 320";ABRASIVOS Y CONSUMIBLES;;
3285;"FIBRO DISCO 41/2"" N 36";ABRASIVOS Y CONSUMIBLES;;
1155;"FIBRO DISCO 41/2"" N 400";ABRASIVOS Y CONSUMIBLES;;
3286;"FIBRO DISCO 41/2"" N 60";ABRASIVOS Y CONSUMIBLES;;
1156;"FIBRO DISCO 41/2"" N 80";ABRASIVOS Y CONSUMIBLES;;
1157;"FIBRO DISCO 7"" N 100";ABRASIVOS Y CONSUMIBLES;;
1158;"FIBRO DISCO 7"" N 120";ABRASIVOS Y CONSUMIBLES;;
1159;"FIBRO DISCO 7"" N 24";ABRASIVOS Y CONSUMIBLES;;
1160;"FIBRO DISCO 7"" N 36";ABRASIVOS Y CONSUMIBLES;;
1161;"FIBRO DISCO 7"" N 60";ABRASIVOS Y CONSUMIBLES;;
1162;"FIBRO DISCO 7"" N 80";ABRASIVOS Y CONSUMIBLES;;
1163;FIFTIN PARA ACOPLE RAPIDO;PARTES Y REPUESTOS;;
1164;FIJATORNILLO FUERZA ALTA 10G UNIFIX;PEGANTES;;
1165;FILTRO ESTANDAR LAVAMANOS USA;GRIFERIA;;
1166;FILTRO GRIFERIA PLASTICO HEMBRA BOCHERINI;GRIFERIA;;
1167;FILTRO GRIFERIA PLASTICO MACHO BOCHERINI;GRIFERIA;;
1168;FILTRO LAVAPLATOS BORDE ANCHO;GRIFERIA;;
1169;FILTRO LAVAPLATOS BORDE PEQUEï¿½O;GRIFERIA;;
1170;"FILTRO LAVAPLATOS SECURITY 4""";GRIFERIA;;
1172;"FILTRO LAVAPLATOS X 4""";GRIFERIA;;
1171;FILTRO PURIFICADOR DE AGUA;GRIFERIA;;
1173;FISTO ABBA;PARTES Y REPUESTOS;;
1174;FISTO CENTRALES;PARTES Y REPUESTOS;;
1175;FISTO CHALLENGER;PARTES Y REPUESTOS;;
1176;FISTO CHILENO LARGO;PARTES Y REPUESTOS;;
1177;FISTO CONTINENTAL;PARTES Y REPUESTOS;;
1178;FISTO HACEB CORTO;PARTES Y REPUESTOS;;
1;FISTO INDUSTRIAL;HOGAR Y COCINA;;
1179;FISTO MABE;PARTES Y REPUESTOS;;
1180;FISTO SUECO;PARTES Y REPUESTOS;;
1181;FISTO SUPERIOR;PARTES Y REPUESTOS;;
1182;FISTO TROPICAL;PARTES Y REPUESTOS;;
1183;"FLANCHE 1""";GRIFERIA;;
1184;"FLANCHE PARA TANQUE 1/2""";GRIFERIA;;
3422;FLEXOMETRO 3MT ECO;HERRAMIENTA MANUAL;;
3423;FLEXOMETRO 5MT ECO;HERRAMIENTA MANUAL;;
1185;"FLEXOMETRO AMARILLO 3MT CINTA 1/2"" PRETUL";HERRAMIENTA MANUAL;;
1186;"FLEXOMETRO AMARILLO 5MT CINTA 3/4"" PRETUL";HERRAMIENTA MANUAL;;
1188;FLEXOMETRO FLEX 3 MT LUFKIN;HERRAMIENTA MANUAL;;
1189;FLEXOMETRO FLEX 5 MT LUFKIN;HERRAMIENTA MANUAL;;
3395;FLEXOMETRO TAURUS X 7.5M;HERRAMIENTA MANUAL;;
1194;FONDO EXPERTO BLANCO 1 G SUPER;PINTURAS Y DISOLVENTES;;
1190;FONDO EXPERTO BLANCO 1/2 G SUPER;PINTURAS Y DISOLVENTES;;
1191;FONDO EXPERTO BLANCO 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
1192;FONDO EXPERTO BLANCO 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
1193;FONDO EXPERTO BLANCO 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
1199;FONDO INDUSTRIAL NEGRO 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
1195;FONDO INDUSTRIAL NEGRO 1/2 G SUPER;PINTURAS Y DISOLVENTES;;
1196;FONDO INDUSTRIAL NEGRO 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
1197;FONDO INDUSTRIAL NEGRO 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
1198;FONDO INDUSTRIAL NEGRO 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
1200;"FORMON 1/4"" PRETUL";HERRAMIENTA MANUAL;;
3187;"FORMON 5/8"" PRETUL";HERRAMIENTA MANUAL;;
3597;FUMIGADOR 3L (0.8GAL) TRUPER;HERRAMIENTA MANUAL;;
3601;FUMIGADOR DOMESTICO 2 LTS TRUPER;HERRAMIENTA MANUAL;;
1201;FUSIBLE OLLA NEGRO;HOGAR Y COCINA;;
1202;FUSIBLE OLLA PUNTO VERDE, ROJO, NARANJA PEQUEï¿½O;HOGAR Y COCINA;;
3281;FUSIBLE TUBULAR 1-30 A;ELECTRICOS;;
1203;FUSIBLE VEHICULAR GRANDE;ELECTRICOS;;
1204;FUSIBLE VEHICULAR PEQUEï¿½O;ELECTRICOS;;
1206;GAFAS DE SEGURIDAD NEGRO PRETUL;DOTACION INDUSTRIAL;;
1207;GAFAS DE SEGURIDAD PARA LASER;DOTACION INDUSTRIAL;;
3676;GAFAS DE SEGURIDAD PRETUL;DOTACION INDUSTRIAL;;
1205;GAFAS DE SEGURIDAD TRANSPARENTE PRETUL;DOTACION INDUSTRIAL;;
1208;GAFAS DE SEGURIDAD VERDE FORTE;DOTACION INDUSTRIAL;;
1209;GAFAS ELEMENT CLARA JACKSON;DOTACION INDUSTRIAL;;
1210;GAFAS PARA SOLDAR TRUPER;DOTACION INDUSTRIAL;;
1211;GANCHO ADHESIVO AMARRE;HERRAJES Y SOPORTES;;
1212;GANCHO ADHESIVO CUADRADO BLANCO;HERRAJES Y SOPORTES;;
1213;GANCHO ADHESIVO GRANDE BLANCO;HERRAJES Y SOPORTES;;
1215;GANCHO ADHESIVO MANGUERA LUCES;HERRAJES Y SOPORTES;;
1217;GANCHO ADHESIVO MINI BLANCO;HERRAJES Y SOPORTES;;
1218;GANCHO ADHESIVO PEQUEï¿½O BLANCO;HERRAJES Y SOPORTES;;
1219;GANCHO ADHESIVO SUPERJUMBO BLANCO;HERRAJES Y SOPORTES;;
1220;GANCHO ADHESIVO Uï¿½A PRESION;HERRAJES Y SOPORTES;;
3325;GANCHO DE ROPA PLASTICO;DOTACION INDUSTRIAL;;
1221;GANCHO PARA TEJA;CONSTRUCCION;;
3341;SET 4 PIEZAS DE GANCHOS MULTIUSOS TRUPER;HERRAMIENTA MANUAL;;
1223;GARRAFA PLASTICA DE SEGUNDA 5 GALONES;PINTURAS Y DISOLVENTES;;
1224;GASTOP FUERZA MEDIA 10G UNIFIX;PEGANTES;;
3590;GAVETA APILABLE DE PLASTICO 16.5X10.5X7.5 CM;PARTES Y REPUESTOS;;
1225;GEL ANTIBACTERIAL CON ALCOHOL 500 ML;HOGAR Y COCINA;;
1226;GEL ANTIBACTERIAL CON ALCOHOL 1000 ML;HOGAR Y COCINA;;
1227;GOTA DE REPUESTO PARA NIVEL;HERRAMIENTA MANUAL;;
3683;VARILLA GRAFIL 4MM X 1M;CONSTRUCCION;;
3682;VARILLA GRAFIL 4MM X 6MT;CONSTRUCCION;;
2477;GRAFITO GOTERO;LUBRICANTES;;
1230;GRANITO BLANCO 21/2 1K;CONSTRUCCION;;
1229;GRANITO BLANCO 21/2 40K;CONSTRUCCION;;
1231;GRAPA CAMA GALVANIZADA X 4 VERA;HERRAJES Y SOPORTES;;
3204;GRAPA COSEDORA PARA ET-21 5/16 TRUPER;HERRAJES Y SOPORTES;;
1222;GRAPA LAVAMANOS PLASTICA PAR;GRIFERIA;;
1232;GRAPA ZUNCHO  UN;HERRAJES Y SOPORTES;;
1233;GRAPA ZUNCHO KILO;HERRAJES Y SOPORTES;;
1234;GRAPA PLASTICA 1/2;HERRAJES Y SOPORTES;;
1235;GRAPA PLASTICA 3/8;HERRAJES Y SOPORTES;;
1236;GRAPA PLASTICA N6 CUADRADA;HERRAJES Y SOPORTES;;
1237;GRAPA PLASTICA N6 REDONDA;HERRAJES Y SOPORTES;;
1238;GRAPA PLASTICA N9 CUADRADA;HERRAJES Y SOPORTES;;
1239;GRAPA PLASTICA N9 REDONDA;HERRAJES Y SOPORTES;;
1242;"GRAPA TUBO GALVANIZADA 1/2"" DOBLE";HERRAJES Y SOPORTES;;
1240;"GRAPA TUBO GALVANIZADA 1"" DOBLE";HERRAJES Y SOPORTES;;
1241;"GRAPA TUBO GALVANIZADA 1"" SENCILLA";HERRAJES Y SOPORTES;;
1243;"GRAPA TUBO GALVANIZADA 1/2"" SENCILLA";HERRAJES Y SOPORTES;;
1244;"GRAPA TUBO GALVANIZADA 11/2"" DOBLE";HERRAJES Y SOPORTES;;
1245;"GRAPA TUBO GALVANIZADA 11/2"" SENCILLA";HERRAJES Y SOPORTES;;
1246;"GRAPA TUBO GALVANIZADA 2"" DOBLE";HERRAJES Y SOPORTES;;
1247;"GRAPA TUBO GALVANIZADA 3"" DOBLE";HERRAJES Y SOPORTES;;
1248;"GRAPA TUBO GALVANIZADA 3/4"" DOBLE";HERRAJES Y SOPORTES;;
1249;"GRAPA TUBO GALVANIZADA 3/4"" SENCILLA";HERRAJES Y SOPORTES;;
1250;"GRAPA TUBO GALVANIZADA 3/8"" DOBLE";HERRAJES Y SOPORTES;;
1251;"GRAPA TUBO GALVANIZADA 3/8"" SENCILLA";HERRAJES Y SOPORTES;;
1252;"GRAPA TUBO GALVANIZADA 4"" DOBLE";HERRAJES Y SOPORTES;;
1253;GRAPADORA TIPO PISTOLA PRETUL;HERRAMIENTA MANUAL;;
1254;GRASA MULTIUSO 300G;LUBRICANTES;;
1255;GRASA MULTIUSO 450G TRUPER;LUBRICANTES;;
1256;"GRATA CIRCULAR ALAMBRE FINO 2"" TALADRO TRUPER";ABRASIVOS Y CONSUMIBLES;;
1257;"GRATA CIRCULAR ALAMBRE FINO 3"" TALADRO TRUPER";ABRASIVOS Y CONSUMIBLES;;
1258;"GRATA COPA ALAMBRE GRUESO 3/4"" TALADRO TRUPER";ABRASIVOS Y CONSUMIBLES;;
3339;"GRATA COPA ALAMBRE GRUESO TALADRO 1""- 3/4";TUBERIAS Y ACCESORIOS;;
1259;"GRATA COPA ALAMBRE ONDULADO 3""X  5/8 TRUPER";ABRASIVOS Y CONSUMIBLES;;
1260;"GRATA COPA ALAMBRE ONDULADO 3""X 14 MM TRUPER";HERRAMIENTA MANUAL;;
1261;"GRATA COPA ALAMBRE ONDULADO 4""X 14 MM TRUPER";HERRAMIENTA MANUAL;;
1263;"GRATA COPA ALAMBRE TRENZADO 3""X 14 MM TRUPER";HERRAMIENTA MANUAL;;
1264;"GRATA COPA ALAMBRE TRENZADO 3""X 5/8 TRUPER";HERRAMIENTA MANUAL;;
1265;"GRATA COPA ALAMBRE TRENZADO 4""X 14 MM TRUPER";HERRAMIENTA MANUAL;;
1266;"GRATA COPA ALAMBRE TRENZADO 4""X 5/8 TRUPER";HERRAMIENTA MANUAL;;
3387;GRATA MANGO AMARILLO;HERRAMIENTA MANUAL;;
1267;GRATA MANGO MADERA;ABRASIVOS Y CONSUMIBLES;;
1268;"GRATA ESMERIL ALAMBRE ONDULADO 6"" TRUPER";HERRAMIENTA MANUAL;;
1269;"GRATA PULIDORA ALAMBRE TRENZADO 4"" TRUPER";ABRASIVOS Y CONSUMIBLES;;
1270;GUANTE CAL 7/L NEGRO;DOTACION INDUSTRIAL;;
1271;GUANTE CAL 7/M NEGRO;DOTACION INDUSTRIAL;;
1272;GUANTE CAL 7/S NEGRO;DOTACION INDUSTRIAL;;
3412;GUANTE CARNAZA CORTO REFORZADO;DOTACION INDUSTRIAL;;
1274;GUANTE LATEX NEGRO HGN 002 T M;DOTACION INDUSTRIAL;;
1275;GUANTE LATEX NEGRO HGN 002 T S;DOTACION INDUSTRIAL;;
1276;GUANTE HILAZA PEPAS;DOTACION INDUSTRIAL;;
1277;GUANTE INDUSTRIAL C 25 T10 FORTE;DOTACION INDUSTRIAL;;
1278;GUANTE INGENIERO REFORZADO;DOTACION INDUSTRIAL;;
1279;GUANTE INGENIERO SENCILLO;DOTACION INDUSTRIAL;;
1280;GUANTE NITRILO TALLA 10;DOTACION INDUSTRIAL;;
1281;GUANTE NITRILO TALLA 7;DOTACION INDUSTRIAL;;
1283;GUANTE NITRILO TALLA 9;DOTACION INDUSTRIAL;;
1284;GUANTE PROTEXION NITRILO T 9;DOTACION INDUSTRIAL;;
3353;GUANTE SOLDADOR  AMARILO O ROJO TIPO KODIACK;DOTACION INDUSTRIAL;;
1285;GUANTE CAUCHO TRITON CAL35 T10;DOTACION INDUSTRIAL;;
1286;GUANTE CAUCHO TRITON CAL35 T7;DOTACION INDUSTRIAL;;
1287;GUANTE CAUCHO TRITON CAL35 T 71/2;DOTACION INDUSTRIAL;;
1288;GUANTE CAUCHO TRITON CAL35 T 8;DOTACION INDUSTRIAL;;
1289;"GUANTE CAUCHO TRITON CAL35 T 81/2""";DOTACION INDUSTRIAL;;
1575;GUANTE CARNAZA PARA ELECTRICISTA;DOTACION INDUSTRIAL;;
3151;GUASA 3/16 UN;TORNILLERIA;;
3153;GUASA 5/16 UN;TORNILLERIA;;
3154;GUASA 7/16 UN;TORNILLERIA;;
1293;GUAYA DE ACERO 7H 1/8 1 MT;SOGAS Y CADENAS;;
3591;HACHA CAZADORA 11/4LB MANGO HICKORY TRUPER;HERRAMIENTA MANUAL;;
1295;HERRAJE PARA 2 TACOS O BREAKER;ELECTRICOS;;
1296;HERRAJE PARA 3 TACOS O BREAKER;ELECTRICOS;;
1297;HILO GANAFULL O SOGA MARINA 13MM 1MT;SOGAS Y CADENAS;;
3513;HILO GANAFULL O SOGA MARINA 8 1MT;SOGAS Y CADENAS;;
1298;HILO PARA ALBAï¿½IL AMARILLO 165MT TRUPER;CONSTRUCCION;;
1299;HILO PARA ALBAï¿½IL AZUL 165MT;CONSTRUCCION;;
1300;HILO PARA ALBAï¿½IL BLANCO 165MT;CONSTRUCCION;;
1301;HILO PARA ALBAï¿½IL NARANJA 165MT;CONSTRUCCION;;
1302;HILO PARA ALBAï¿½IL ROJO 165MT;CONSTRUCCION;;
1303;HILO PARA ALBAï¿½IL VERDE 165MT;CONSTRUCCION;;
3198;HILO PARA GUADAï¿½A AMARILLO 3.3MM X1MT;SOGAS Y CADENAS;;
3346;"HOMBRESOLO CURVO 7"" PRETUL";HERRAMIENTA MANUAL;;
1305;"HOMBRESOLO RECTO 10"" PRETUL";HERRAMIENTA MANUAL;;
1306;VINILO T3 ICOLATEX BLANCO 1 GALON PINTUCO;PINTURAS Y DISOLVENTES;;
1307;VINILO T3 ICOLATEX BLANCO 1/2 G PINTUCO;PINTURAS Y DISOLVENTES;;
1308;VINILO T3 ICOLATEX BLANCO 1/32 G PINTUCO;PINTURAS Y DISOLVENTES;;
1309;VINILO T3 ICOLATEX BLANCO 1/4 G PINTUCO;PINTURAS Y DISOLVENTES;;
1310;VINILO T3 ICOLATEX BLANCO 1/8 G PINTUCO;PINTURAS Y DISOLVENTES;;
1311;VINILO T3 ICOLATEX BLANCO CANECA 5 G PINTUCO;PINTURAS Y DISOLVENTES;;
2927;IMAN EXTENDIBLE FLEXIBLE CON LED 3.4 KG;HERRAMIENTA MANUAL;;
1320;IMAN MONEDA 0;PARTES Y REPUESTOS;;
1321;IMAN MONEDA 1;PARTES Y REPUESTOS;;
1322;IMAN MONEDA 2;PARTES Y REPUESTOS;;
1323;IMAN MONEDA 3;PARTES Y REPUESTOS;;
1324;IMAN MONEDA 4;PARTES Y REPUESTOS;;
1325;IMAN MONEDA 6;PARTES Y REPUESTOS;;
1326;IMAN MONEDA 7;PARTES Y REPUESTOS;;
1327;IMAN MONEDA 8;PARTES Y REPUESTOS;;
1328;IMAN MONEDA 9;PARTES Y REPUESTOS;;
1329;RACOR INSERTO RIEGO PVC 1/2 X 20 MM;GRIFERIA;;
1336;INTERRUPTOR + TOMA P/T BLANCO DUOMO AVE;ELECTRICOS;;
1330;INTERRUPTOR + TOMA BLANCA MERCURY;ELECTRICOS;;
1331;INTERRUPTOR DE PASO CORREDERA AVE;ELECTRICOS;;
1332;INTERRUPTOR DOBLE BLANCO DUOMO AVE;ELECTRICOS;;
1333;INTERRUPTOR DOBLE BLANCO MERCURY;ELECTRICOS;;
1334;INTERRUPTOR DOBLE CONMU BLANCO DUOMO AVE;ELECTRICOS;;
1335;INTERRUPTOR PANTALLA Pï¿½A;ELECTRICOS;;
1337;INTERRUPTOR SENCILLO BLANCO DUOMO AVE;ELECTRICOS;;
1339;INTERRUPTOR SENCILLO CONMUTABLE BLANCO DUOMO AVE;ELECTRICOS;;
1340;INTERRUPTOR SENCILLO SOBREPONER BLANCO AVE;ELECTRICOS;;
1341;INTERRUPTOR TRIPLE BLANCO DUOMO AVE;ELECTRICOS;;
1342;INVECRYL 500 1 KILO SAPOLIN;CONSTRUCCION;;
2441;INVECRYL 750 GRS SAPOLIN;CONSTRUCCION;;
3372;INYECTOR DE GRASA 6000 PSI;HERRAMIENTA MANUAL;;
1343;JABON PARA MANOS 500 ML;ASEO;;
1344;JABON PARA MANOS GALON;ASEO;;
1345;JABON PARA MANOS LITRO;ASEO;;
1346;JABON REY 500 ML;ASEO;;
1347;JABON REY GALON;ASEO;;
1348;JABON REY LITRO;ASEO;;
3293;LIBRE;GRIFERIA;;
3678;JABONERA CROMADA PLASTGRIFOS;HOGAR Y COCINA;;
3598;JUEGO DE 121 PIEZAS MOTORTOOL TRUPER;HERRAMIENTA MANUAL;;
1349;JUEGO DE 10 LIMAS PARA JOYERO TRUPER;HERRAMIENTA MANUAL;;
1350;JUEGO DE 3 MINICEPILLOS GRATA TRUPER;HERRAMIENTA MANUAL;;
1351;JUEGO DE 3 PIEZAS SIERRAS PARA CERRADURA TRUPER;HERRAMIENTA MANUAL;;
1352;JUEGO DE 5 SIERRA COPA ACERO AL CARBONO PRETUL;HERRAMIENTA MANUAL;;
1353;JUEGO DE 6 DESTORNILLADORES JOYERO CLASICOS TRUPER;HERRAMIENTA MANUAL;;
1354;JUEGO DE 7 LLAVES BRISTOL PULGADAS TIPO NAVAJA TRUPER;HERRAMIENTA MANUAL;;
1355;JUEGO DE 8 COPAS METRICAS PRETUL;HERRAMIENTA MANUAL;;
1356;JUEGO DE 8 COPAS PULGADAS PRETUL;HERRAMIENTA MANUAL;;
1357;JUEGO DE 8 LLAVES BRISTOL LLAVERO METRICAS PRETUL;HERRAMIENTA MANUAL;;
1358;JUEGO DE 8 LLAVES BRISTOL LLAVERO PULGADAS PRETUL;HERRAMIENTA MANUAL;;
3314;JUEGO DE 7 LLAVES BRISTOL ACERO AL CROMO MILIMETRICA TRUPER;HERRAMIENTA MANUAL;;
